order_id,order_date,channel,product,units,price,status
ORD-1001,2025-01-03,web,Wireless Mouse,2,24.99,paid
ORD-1002,1/4/25,marketplace,USB-C Cable,5,9.5,paid
ORD-1003,Jan 05 2025,web,Noise Cancelling Headphones,1,199.00,paid
ORD-1004,2025-01-06,retail,Mechanical Keyboard,1,89.99,cancelled
ORD-1005,1/7/25,web,Laptop Stand,3,34.50,paid
ORD-1006,Jan 08 2025,marketplace,Webcam,2,59.99,refunded
ORD-1007,2025-01-09,,Monitor 27in,1,229.00,paid
ORD-1008,1/10/25,web,,4,14.25,paid
ORD-1009,Jan 11 2025,retail,Office Chair,1,,paid
ORD-1010,2025-01-12,marketplace,Desk Lamp,2,39.95,cancelled
ORD-1002,2025-01-13,marketplace,USB-C Cable,5,9.5,refunded
ORD-1004,1/14/25,retail,Mechanical Keyboard,1,89.99,paid
ORD-1006,Jan 15 2025,marketplace,Webcam,2,59.99,paid
ORD-1011,2025-01-16,web,External SSD 1TB,1,119.00,paid
ORD-1012,1/17/25,retail,Ergonomic Mouse,2,49.00,refunded
ORD-1013,Jan 18 2025,web,HDMI Adapter,6,12.00,cancelled
ORD-1014,2025-01-19,marketplace,Portable Charger,3,29.99,paid
ORD-1015,1/20/25,web,Standing Desk,1,349.00,paid
